id,ID,NAME
862,10194.0,Toy Story Collection
15602,119050.0,Grumpy Old Men Collection
11862,96871.0,Father of the Bride Collection
710,645.0,James Bond Collection
21032,117693.0,Balto Collection
9273,3167.0,Ace Ventura Collection
8012,91698.0,Chili Palmer Collection
9598,9435.0,Babe Collection
9312,9818.0,Mortal Kombat Collection
10530,136214.0,Pocahontas Collection
11525,124935.0,The Lawnmower Man Collection
10634,43563.0,Friday Collection
755,10924.0,From Dusk Till Dawn Collection
9102,,
10874,256377.0,The Muppet Collection
27793,91430.0,The Neverending Story Collection
9737,14890.0,Bad Boys Collection
414,120794.0,Batman Collection
5894,439053.0,Brooklyn Cigar Store Collection
8839,,
8068,9649.0,Mexico Trilogy
1572,1570.0,Die Hard Collection
13552,259398.0,Teenage Apocalypse Trilogy
9073,9328.0,Free Willy Collection
9070,286162.0,Power Rangers Collection
1642,328073.0,Síť (kolekce)
11980,,
10802,247294.0,Showgirls Collection
10149,439053.0,Brooklyn Cigar Store Collection
9348,9887.0,Species Collection
3512,112399.0,Under Siege Collection
50797,23170.0,Burnt by the Sun Trilogy
76,123800.0,Before... Collection
2292,182813.0,Clerks Collection
8467,96665.0,Dumb and Dumber Collection
15789,410261.0,A Goofy Movie Collection
628,217704.0,The Vampire Chronicles
11,10.0,Star Wars Collection
63105,,
527,,
18220,48188.0,Poison Ivy Collection
110,131.0,Three Colors Collection
108,131.0,Three Colors Collection
109,131.0,Three Colors Collection
22586,144200.0,Swan Princess Series
11395,53159.0,The Santa Clause Collection
9059,115142.0,Tales from the Crypt Collection
193,115570.0,Star Trek: The Next Generation Collection
3049,3167.0,Ace Ventura Collection
9331,192492.0,The Jack Ryan Collection
9495,9436.0,The Crow Collection
888,351684.0,The Flintstones (Live-Action) Collection
8587,94032.0,The Lion King Collection
11596,8581.0,A Nightmare on Elm Street Collection
854,43072.0,The Mask Collection
36593,37139.0,Naked Gun Collection
11011,,
1637,43064.0,Speed Collection
8831,170452.0,Timecop Collection
11667,261203.0,Street Fighter
75555,,
8011,8050.0,Highlander Collection
2758,11716.0,Addams Family Collection
9409,,
306,85861.0,Beverly Hills Cop Collection
11310,150156.0,City Slickers Collection
24257,252313.0,The Endless Summer Collection
1634,9328.0,Free Willy Collection
5503,134011.0,The Fugitive / U.S. Marshals Collection
2019,412680.0,Hard Target Collection
9255,52988.0,Hot Shots! Collection
16097,,
329,328.0,Jurassic Park Collection
11231,8580.0,The Karate Kid Collection
5550,5547.0,RoboCop Collection
11236,462565.0,The Secret Garden Collection
8850,105075.0,The Shadow Collection
78,422837.0,Blade Runner Collection
9066,,
771,9888.0,Home Alone Collection
812,86027.0,Aladdin Collection
280,528.0,The Terminator Collection
268,120794.0,Batman Collection
274,9743.0,The Hannibal Lecter Anthology
10020,153010.0,Beauty and the Beast Collection
10824,98580.0,Candyman Collection
25059,,
11827,141086.0,Heavy Metal Collection
8766,8917.0,Hellraiser Collection
19042,140910.0,All Dogs Go to Heaven Collection
954,87359.0,Mission: Impossible Collection
8840,169452.0,DragonHeart Collection
25087,36694.0,Bloodsport Collection
5801,158391.0,The Apu Collection
896,158391.0,The Apu Collection
8072,144146.0,Lemmy Caution Collection
20762,,
11687,52888.0,The Visitors Collection
9323,23026.0,Ghost in the Shell Collection
532,529.0,Wallace & Gromit Collection
10547,116661.0,The Arrival Collection
77771,,
627,424202.0,Trainspotting Collection
602,304378.0,Independence Day Collection
10545,97456.0,The Hunchback of Notre Dame Collection
9327,86028.0,The Nutty Professor Collection
12606,,
10546,9436.0,The Crow Collection
9431,115142.0,Tales from the Crypt Collection
10061,115838.0,Escape From ... Collection
238,230.0,The Godfather Collection
11134,269098.0,Police Story Collection
38955,269098.0,Police Story Collection
19004,19163.0,The Land Before Time Collection
10987,91361.0,Halloween Collection
62,4438.0,The Space Odyssey Series
3529,47814.0,The Thin Man Collection
10331,261590.0,Living Dead Collection
39448,,
10680,10709.0,The Mighty Ducks Collection
18660,,
35115,,
14821,90348.0,Witch Mountain Collection
14136,12087.0,Herbie Collection
10869,12087.0,Herbie Collection
19186,,
6878,,
15944,,
11224,55419.0,Cinderella Collection
15947,,
10948,100970.0,The Fox and the Hound Collection
11229,355490.0,Freeway Collection
562,1570.0,Die Hard Collection
10163,124935.0,The Lawnmower Man Collection
11238,86027.0,Aladdin Collection
88,86058.0,Dirty Dancing Collection
8491,,
402,86336.0,Basic Instinct Collection
25750,115225.0,Children of the Corn Collection
11843,937.0,The Pink Panther (Original) Collection
1103,115838.0,Escape From ... Collection
11298,174218.0,The Howling Collection
4480,,
4481,,
531,529.0,Wallace & Gromit Collection
36555,153948.0,Best of the Best Collection
11455,33071.0,Cheech & Chong Collection
1891,10.0,Star Wars Collection
85,84.0,Indiana Jones Collection
679,8091.0,Alien Collection
429,48317.0,The Man With No Name Collection
1892,10.0,Star Wars Collection
348,8091.0,Alien Collection
766,1960.0,Evil Dead Collection
539,119674.0,Psycho Collection
525,112636.0,The Blues Brothers Collection
240,230.0,The Godfather Collection
530,529.0,Wallace & Gromit Collection
9277,,
218,528.0,The Terminator Collection
829,359005.0,The Jake Gittes Collection
765,1960.0,Evil Dead Collection
105,264.0,Back to the Future Collection
8009,8050.0,Highlander Collection
756,55427.0,Fantasia Collection
11314,173344.0,Qatsi Collection
89,84.0,Indiana Jones Collection
8077,8091.0,Alien Collection
41671,397842.0,The Amityville Horror Collection
27214,397842.0,The Amityville Horror Collection
52263,397842.0,The Amityville Horror Collection
33519,397842.0,The Amityville Horror Collection
16235,397842.0,The Amityville Horror Collection
11449,397842.0,The Amityville Horror Collection
41848,397842.0,The Amityville Horror Collection
8851,,
229,218406.0,Frankenstein (Universal Series)
9529,98580.0,Candyman Collection
7340,257053.0,Carrie Collection
377,8581.0,A Nightmare on Elm Street Collection
794,10919.0,The Omen Collection
145,498.0,Heart of Gold Collection
199,115570.0,Star Trek: The Next Generation Collection
9279,307637.0,Jingle All the Way Collection
17204,105629.0,Paradise Lost Collection
11674,124916.0,101 Dalmatians (Live-Action) Collection
1573,1570.0,Die Hard Collection
152,151.0,Star Trek: The Original Series Collection
174,151.0,Star Trek: The Original Series Collection
172,151.0,Star Trek: The Original Series Collection
154,151.0,Star Trek: The Original Series Collection
157,151.0,Star Trek: The Original Series Collection
168,151.0,Star Trek: The Original Series Collection
364,120794.0,Batman Collection
11967,9329.0,Young Guns Collection
9086,9329.0,Young Guns Collection
621,86083.0,Grease Collection
9037,86083.0,Grease Collection
8845,112399.0,Under Siege Collection
578,2366.0,The Jaws Collection
579,2366.0,The Jaws Collection
17692,2366.0,The Jaws Collection
4232,2602.0,Scream Collection
34314,166379.0,Turbulence Collection
9404,269098.0,Police Story Collection
14908,,
11419,,
10003,,
11844,,
6499,286162.0,Power Rangers Collection
9360,105995.0,Anaconda Collection
816,1006.0,Austin Powers Collection
49478,,
1811,259398.0,Teenage Apocalypse Trilogy
330,328.0,Jurassic Park Collection
33660,,
1639,43064.0,Speed Collection
415,120794.0,Batman Collection
17991,182923.0,Tetsuo Collection
607,86055.0,Men In Black Collection
9387,43055.0,Conan the Barbarian Collection
10603,,
20737,97445.0,Air Bud Collection
18519,9328.0,Free Willy Collection
4961,10721.0,Mimic Collection
1669,192492.0,The Jack Ryan Collection
9437,142680.0,Alex Cross Collection
10351,135489.0,Wishmaster Collection
3597,3601.0,I Know What You Did Last Summer Collection
1281,103372.0,Mr. Bean Collection
563,10522.0,Starship Troopers Collection
9823,9818.0,Mortal Kombat Collection
8078,8091.0,Alien Collection
42832,372479.0,Les Boys
9714,9888.0,Home Alone Collection
4233,2602.0,Scream Collection
714,645.0,James Bond Collection
9922,,
32302,,
9033,,
11568,112636.0,The Blues Brothers Collection
11808,134011.0,The Fugitive / U.S. Marshals Collection
617,33059.0,Wild Things Collection
17644,,
27472,221966.0,The Odd Couple Collection
10216,9887.0,Species Collection
9771,97771.0,Major League Collection
37410,,
10674,87236.0,Mulan Collection
846,19387.0,The X-Files Collection
3050,3169.0,Dr. Dolittle Collection
944,945.0,Lethal Weapon Collection
1051,155474.0,French Connection Collection
1366,1575.0,Rocky Collection
10014,8581.0,A Nightmare on Elm Street Collection
10072,8581.0,A Nightmare on Elm Street Collection
10131,8581.0,A Nightmare on Elm Street Collection
10160,8581.0,A Nightmare on Elm Street Collection
11284,8581.0,A Nightmare on Elm Street Collection
4488,9735.0,Friday the 13th Collection
9725,9735.0,Friday the 13th Collection
9728,9735.0,Friday the 13th Collection
9730,9735.0,Friday the 13th Collection
9731,9735.0,Friday the 13th Collection
10225,9735.0,Friday the 13th Collection
10281,9735.0,Friday the 13th Collection
10283,9735.0,Friday the 13th Collection
948,91361.0,Halloween Collection
11281,91361.0,Halloween Collection
10676,91361.0,Halloween Collection
11357,91361.0,Halloween Collection
11361,91361.0,Halloween Collection
36599,,
39929,,
41828,,
41769,,
10585,,
11186,,
11187,,
609,10453.0,Poltergeist Collection
11133,10453.0,Poltergeist Collection
10306,10453.0,Poltergeist Collection
9552,12263.0,The Exorcist Collection
11586,12263.0,The Exorcist Collection
11587,12263.0,The Exorcist Collection
941,945.0,Lethal Weapon Collection
942,945.0,Lethal Weapon Collection
943,945.0,Lethal Weapon Collection
927,89151.0,The Gremlins Collection
928,89151.0,The Gremlins Collection
9342,1657.0,Zorro Collection
165,264.0,Back to the Future Collection
196,264.0,Back to the Future Collection
551,,
17984,294468.0,Flubber Collection
22328,,
3170,87250.0,Bambi Collection
242,230.0,The Godfather Collection
29228,,
11164,10709.0,The Mighty Ducks Collection
12129,12087.0,Herbie Collection
14140,12087.0,Herbie Collection
11158,72119.0,"Honey, I Shrunk the Kids Collection"
9354,72119.0,"Honey, I Shrunk the Kids Collection"
9325,97459.0,The Jungle Book Collection
10340,97460.0,Lady and the Tramp Collection
10144,33085.0,The Little Mermaid Collection
10414,10709.0,The Mighty Ducks Collection
10437,256377.0,The Muppet Collection
12230,100693.0,101 Dalmatians (Animated) Collection
10693,55422.0,Peter Pan Collection
11135,57971.0,The Rescuers Collection
11319,57971.0,The Rescuers Collection
14822,90348.0,Witch Mountain Collection
15969,86027.0,Aladdin Collection
15943,,
19762,294468.0,Flubber Collection
2619,248126.0,Splash Collection
97,63043.0,TRON Collection
11675,91361.0,Halloween Collection
87,84.0,Indiana Jones Collection
123,141290.0,The Lord of the Rings Animated Collection
10823,115225.0,Children of the Corn Collection
11497,140910.0,All Dogs Go to Heaven Collection
2907,11716.0,Addams Family Collection
15171,,
11704,141292.0,The Secret Of NIMH Collection
4978,,
10380,,
11415,102782.0,House Collection
37530,102782.0,House Collection
8393,87805.0,The Gods Must Be Crazy Collection
11937,87805.0,The Gods Must Be Crazy Collection
21661,97445.0,Air Bud Collection
39930,,
10692,,
805,,
34584,91430.0,The Neverending Story Collection
34636,91430.0,The Neverending Story Collection
2182,,
36647,735.0,Blade Collection
431,432.0,Cube Collection
2109,90863.0,Rush Hour Collection
9877,52760.0,Urban Legend
1091,479888.0,The Thing Collection
4437,4438.0,The Space Odyssey Series
11932,,
9945,348843.0,Vampires Collection
4518,100286.0,Elizabeth Collection
3600,3601.0,I Know What You Did Last Summer Collection
12223,374384.0,Stepford Collection
14444,57129.0,Rugrats Collection
1678,374509.0,Godzilla (Showa) Collection
39256,374511.0,Godzilla (Heisei) Collection
1680,374509.0,Godzilla (Showa) Collection
244,,
10730,,
31947,,
9749,104833.0,Fletch Collection
14628,104833.0,Fletch Collection
9626,43055.0,Conan the Barbarian Collection
707,645.0,James Bond Collection
9336,9338.0,Police Academy Collection
10157,9338.0,Police Academy Collection
12118,9338.0,Police Academy Collection
10587,9338.0,Police Academy Collection
11825,9338.0,Police Academy Collection
11895,9338.0,Police Academy Collection
9447,9435.0,Babe Collection
200,115570.0,Star Trek: The Next Generation Collection
1369,5039.0,Rambo Collection
1368,5039.0,Rambo Collection
1370,5039.0,Rambo Collection
10303,89264.0,Romancing the Stone Collection
9326,89264.0,Romancing the Stone Collection
10328,86307.0,Cocoon Collection
11285,86307.0,Cocoon Collection
1367,1575.0,Rocky Collection
1371,1575.0,Rocky Collection
1374,1575.0,Rocky Collection
1375,1575.0,Rocky Collection
1885,8580.0,The Karate Kid Collection
8856,8580.0,The Karate Kid Collection
10495,8580.0,The Karate Kid Collection
5825,,
6917,340623.0,The Gate Collection
40729,340623.0,The Gate Collection
11815,123213.0,The Fly (1958 series)
9426,109609.0,The Fly Collection
10344,109609.0,The Fly Collection
30497,111751.0,Texas Chainsaw Massacre Collection
16337,111751.0,Texas Chainsaw Massacre Collection
25018,111751.0,Texas Chainsaw Massacre Collection
16780,111751.0,Texas Chainsaw Massacre Collection
9671,9332.0,Crocodile Dundee Collection
9396,9332.0,Crocodile Dundee Collection
11873,,
8224,387618.0,8MM Collection
8913,10789.0,Pet Sematary Collection
10906,10789.0,Pet Sematary Collection
25748,115225.0,Children of the Corn Collection
25749,115225.0,Children of the Corn Collection
10671,33938.0,Airport Collection
27932,33938.0,Airport Collection
7227,33938.0,Airport Collection
33518,,
2362,166698.0,Westworld Collection
871,1709.0,Planet of the Apes Original Collection
1685,1709.0,Planet of the Apes Original Collection
1705,1709.0,Planet of the Apes Original Collection
1688,1709.0,Planet of the Apes Original Collection
1687,1709.0,Planet of the Apes Original Collection
29723,33938.0,Airport Collection
31638,,
9535,110127.0,Analyze Collection
796,52789.0,Cruel Intentions Collection
7341,257053.0,Carrie Collection
603,2344.0,The Matrix Collection
564,1733.0,The Mummy Collection
9460,,
1893,10.0,Star Wars Collection
15849,221544.0,The Mummy (Universal Series)
18990,138965.0,The Mummy (Hammer Series)
